Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Argentina;ARG;Population, total;SP.POP.TOTL;1960;20349744
Argentina;ARG;Population, total;SP.POP.TOTL;1961;20680653
Argentina;ARG;Population, total;SP.POP.TOTL;1962;21020359
Argentina;ARG;Population, total;SP.POP.TOTL;1963;21364017
Argentina;ARG;Population, total;SP.POP.TOTL;1964;21708487
Argentina;ARG;Population, total;SP.POP.TOTL;1965;22053661
Argentina;ARG;Population, total;SP.POP.TOTL;1966;22403116
Argentina;ARG;Population, total;SP.POP.TOTL;1967;22757014
Argentina;ARG;Population, total;SP.POP.TOTL;1968;23112971
Argentina;ARG;Population, total;SP.POP.TOTL;1969;23472028
Argentina;ARG;Population, total;SP.POP.TOTL;1970;23842803
Argentina;ARG;Population, total;SP.POP.TOTL;1971;24223379
Argentina;ARG;Population, total;SP.POP.TOTL;1972;24612794
Argentina;ARG;Population, total;SP.POP.TOTL;1973;25020588
Argentina;ARG;Population, total;SP.POP.TOTL;1974;25449754
Argentina;ARG;Population, total;SP.POP.TOTL;1975;25875558
Argentina;ARG;Population, total;SP.POP.TOTL;1976;26290257
Argentina;ARG;Population, total;SP.POP.TOTL;1977;26713780
Argentina;ARG;Population, total;SP.POP.TOTL;1978;27146121
Argentina;ARG;Population, total;SP.POP.TOTL;1979;27584134
Argentina;ARG;Population, total;SP.POP.TOTL;1980;28024803
Argentina;ARG;Population, total;SP.POP.TOTL;1981;28471285
Argentina;ARG;Population, total;SP.POP.TOTL;1982;28922762
Argentina;ARG;Population, total;SP.POP.TOTL;1983;29377137
Argentina;ARG;Population, total;SP.POP.TOTL;1984;29832197
Argentina;ARG;Population, total;SP.POP.TOTL;1985;30287112
Argentina;ARG;Population, total;SP.POP.TOTL;1986;30748326
Argentina;ARG;Population, total;SP.POP.TOTL;1987;31216453
Argentina;ARG;Population, total;SP.POP.TOTL;1988;31690792
Argentina;ARG;Population, total;SP.POP.TOTL;1989;32165766
Argentina;ARG;Population, total;SP.POP.TOTL;1990;32637657
Argentina;ARG;Population, total;SP.POP.TOTL;1991;33105763
Argentina;ARG;Population, total;SP.POP.TOTL;1992;33568285
Argentina;ARG;Population, total;SP.POP.TOTL;1993;34027240
Argentina;ARG;Population, total;SP.POP.TOTL;1994;34488696
Argentina;ARG;Population, total;SP.POP.TOTL;1995;34946110
Argentina;ARG;Population, total;SP.POP.TOTL;1996;35389362
Argentina;ARG;Population, total;SP.POP.TOTL;1997;35815971
Argentina;ARG;Population, total;SP.POP.TOTL;1998;36233195
Argentina;ARG;Population, total;SP.POP.TOTL;1999;36653031
Argentina;ARG;Population, total;SP.POP.TOTL;2000;37070774
Argentina;ARG;Population, total;SP.POP.TOTL;2001;37480493
Argentina;ARG;Population, total;SP.POP.TOTL;2002;37885028
Argentina;ARG;Population, total;SP.POP.TOTL;2003;38278164
Argentina;ARG;Population, total;SP.POP.TOTL;2004;38668796
Argentina;ARG;Population, total;SP.POP.TOTL;2005;39070501
Argentina;ARG;Population, total;SP.POP.TOTL;2006;39476851
Argentina;ARG;Population, total;SP.POP.TOTL;2007;39876111
Argentina;ARG;Population, total;SP.POP.TOTL;2008;40273769
Argentina;ARG;Population, total;SP.POP.TOTL;2009;40684338
Argentina;ARG;Population, total;SP.POP.TOTL;2010;40788453
Argentina;ARG;Population, total;SP.POP.TOTL;2011;41261490
Argentina;ARG;Population, total;SP.POP.TOTL;2012;41733271
Argentina;ARG;Population, total;SP.POP.TOTL;2013;42202935
Argentina;ARG;Population, total;SP.POP.TOTL;2014;42669500
Argentina;ARG;Population, total;SP.POP.TOTL;2015;43131966
Argentina;ARG;Population, total;SP.POP.TOTL;2016;43590368
Argentina;ARG;Population, total;SP.POP.TOTL;2017;44044811
Argentina;ARG;Population, total;SP.POP.TOTL;2018;44494502
Argentina;ARG;Population, total;SP.POP.TOTL;2019;44938712
Argentina;ARG;Population, total;SP.POP.TOTL;2020;45376763
Argentina;ARG;Population, total;SP.POP.TOTL;2021;45808747
Argentina;ARG;Population, total;SP.POP.TOTL;2022;46234830
